Gene,p,padj,loglik_full,loglik_red,df_full,df_red,mean,converge_impulse,converge_const,converge_sigmoid,impulseTOsigmoid_p,impulseTOsigmoid_padj,sigmoidTOconst_p,sigmoidTOconst_padj,isTransient,isMonotonous,allZero
FBgn0031265,0.789134515,0.999775474,-129.854246,-131.0620936,9,4,251.2371839,0,0,0,0.408185476,0.949736616,0.891002601,0.999999999,FALSE,FALSE,FALSE
FBgn0031266,0.692678645,0.999775474,-146.5762557,-148.099954,9,4,436.7356572,0,0,0,0.239066237,0.949736616,0.979916188,0.999999999,FALSE,FALSE,FALSE
FBgn0031267,0.900085051,0.999775474,-122.4299947,-123.2347986,9,4,214.2929232,0,0,0,0.48577024,0.949736616,0.982946377,0.999999999,FALSE,FALSE,FALSE
FBgn0031268,0.423806986,0.999775474,-97.12618787,-99.59391982,9,4,46.9853035,0,0,0,0.150926137,0.949736616,0.764168848,0.999999999,FALSE,FALSE,FALSE
FBgn0031270,0.767863506,0.999775474,-85.03197895,-86.3105577,9,4,25.02952356,0,0,0,0.576575436,0.949736616,0.692494794,0.999999999,FALSE,FALSE,FALSE
FBgn0031273,0.95616682,0.999775474,-7.75082088,-8.28904638,9,4,0.099157441,0,1,0,0.997309817,1,0.784063686,0.999999999,FALSE,FALSE,FALSE
FBgn0031275,0.652999678,0.999775474,-27.57228854,-29.22503875,9,4,0.345417059,0,0,0,0.19265989,0.949736616,0.999658453,0.999999999,FALSE,FALSE,FALSE
FBgn0031279,0.955641134,0.999775474,-36.25514725,-36.79639614,9,4,0.760569337,0,0,0,0.590123306,0.949736616,0.998787261,0.999999999,FALSE,FALSE,FALSE
FBgn0031281,0.95785452,0.999775474,-99.36949593,-99.89790227,9,4,42.03048993,0,0,0,0.737424834,0.949736616,0.930236566,0.999999999,FALSE,FALSE,FALSE
FBgn0031282,0.909783031,0.999775474,-89.77507871,-90.53922037,9,4,27.62701764,0,0,0,0.933247672,1,0.707853693,0.999999999,FALSE,FALSE,FALSE
FBgn0031283,0.932412364,0.999775474,-46.04780976,-46.70995551,9,4,1.632335396,0,0,0,0.931787813,1,0.757086553,0.999999999,FALSE,FALSE,FALSE
FBgn0031284,0.66497453,0.999775474,-107.4915006,-109.1051979,9,4,67.15433796,0,0,0,0.298125951,0.949736616,0.847812072,0.999999999,FALSE,FALSE,FALSE
FBgn0031285,0.910470934,0.999775474,-158.9603922,-159.7215902,9,4,851.7823105,0,0,0,0.775455242,0.949736616,0.797916193,0.999999999,FALSE,FALSE,FALSE
FBgn0031286,0.891964765,0.999775474,-106.5781026,-107.4158806,9,4,80.472752,0,0,0,0.443978826,0.949736616,0.99693047,0.999999999,FALSE,FALSE,FALSE
FBgn0031287,0.806833601,0.999775474,-104.601748,-105.7498182,9,4,58.07546318,0,0,0,0.331529506,0.949736616,0.993230347,0.999999999,FALSE,FALSE,FALSE
FBgn0031288,0.901659216,0.999775474,-40.62002972,-41.4183338,9,4,0.863017035,0,0,0,0.48461352,0.949736616,0.985540289,0.999999999,FALSE,FALSE,FALSE
